Project,Release,File,Normalized_File,Size_LOC,NR,NAuth,NFix,Age_in_Days,Weighted_Age,LOC_Added,Max_LOC_Added,Average_LOC_Added,LOC_Deleted,Max_LOC_Deleted,Average_LOC_Deleted,Churn,Max_Churn,Average_Churn,Change_Set_Size,Max_Change_Set_Size,Average_Change_Set_Size,Average_ND,Average_Entropy,NSmells,Buggy
AVRO,1.1.0,src/java/org/apache/avro/ipc/RPCContext.java,org/apache/avro/ipc/RPCContext.java,131,1,1,1,0,0,149,149,149,0,0,0,149,149,149,298,298,298,36,6.6998,0,No
AVRO,1.1.0,src/java/org/apache/avro/ipc/AvroRemoteException.java,org/apache/avro/ipc/AvroRemoteException.java,33,5,1,2,109,14933,89,44,17,48,44,9,137,44,27,764,253,152,24.6,5.7088,0,No
AVRO,1.1.0,src/java/org/apache/avro/ipc/SocketTransceiver.java,org/apache/avro/ipc/SocketTransceiver.java,81,5,1,2,109,29757,184,87,36,89,87,17,273,87,54,712,270,142,23.2,5.6966,0,No
AVRO,1.1.0,src/java/org/apache/avro/ipc/Requestor.java,org/apache/avro/ipc/Requestor.java,197,10,1,7,113,61698,389,105,38,157,105,15,546,107,54,910,209,91,17.5,4.9502,0,Yes
AVRO,1.1.0,src/java/org/apache/avro/ipc/SocketServer.java,org/apache/avro/ipc/SocketServer.java,92,6,1,3,109,45235,263,118,43,152,118,25,415,118,69,790,253,131,22,5.5403,0,Yes
AVRO,1.1.0,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,org/apache/avro/ipc/ByteBufferInputStream.java,78,7,1,4,109,28449,174,69,24,87,69,12,261,69,37,783,257,111,19.1429,4.8914,0,No
AVRO,1.1.0,src/java/org/apache/avro/ipc/Responder.java,org/apache/avro/ipc/Responder.java,188,11,1,8,113,64410,396,124,36,174,124,15,570,124,51,944,164,85,17.2727,4.8398,0,No
AVRO,1.1.0,src/java/org/apache/avro/AvroRuntimeException.java,org/apache/avro/AvroRuntimeException.java,22,4,1,1,109,7957,49,24,12,24,24,6,73,24,18,628,298,157,25,5.7587,0,No
AVRO,1.2.0,src/java/org/apache/avro/specific/SpecificData.java,org/apache/avro/specific/SpecificData.java,83,3,1,3,23,2576,105,67,35,7,6,2,112,67,37,396,307,132,22.6667,5.0781,0,No
AVRO,1.2.0,src/java/org/apache/avro/specific/SpecificRequestor.java,org/apache/avro/specific/SpecificRequestor.java,68,10,1,7,169,37687,152,53,15,71,53,7,223,53,22,839,299,83,17.1,4.7133,0,No
AVRO,1.2.0,src/java/org/apache/avro/specific/ProtocolTask.java,org/apache/avro/specific/ProtocolTask.java,68,6,1,3,169,54756,202,84,33,122,84,20,324,84,54,777,299,129,22.3333,5.5093,0,No
AVRO,1.2.0,src/java/org/apache/avro/specific/SpecificRecordBase.java,org/apache/avro/specific/SpecificRecordBase.java,60,3,1,3,92,7544,77,64,25,5,5,1,82,64,27,505,277,168,27.3333,5.7888,0,No
AVRO,1.2.0,src/java/org/apache/avro/specific/SpecificExceptionBase.java,org/apache/avro/specific/SpecificExceptionBase.java,33,3,1,3,92,3956,42,40,14,1,1,0,43,40,14,505,277,168,27.3333,5.7888,0,No
AVRO,1.2.0,src/java/org/apache/avro/specific/SpecificCompiler.java,org/apache/avro/specific/SpecificCompiler.java,286,19,2,16,182,207480,725,225,38,415,225,21,1140,327,60,1045,270,55,13.1579,3.9187,0,No
AVRO,1.2.0,src/java/org/apache/avro/util/Utf8.java,org/apache/avro/util/Utf8.java,74,5,1,2,145,37265,172,80,34,85,80,17,257,80,51,710,298,142,24.6,5.6691,0,No
AVRO,1.2.0,src/java/org/apache/avro/file/DataFileReader.java,org/apache/avro/file/DataFileReader.java,196,8,1,5,180,127260,467,208,58,240,208,30,707,208,88,957,216,119,21.625,5.2797,0,No
AVRO,1.2.0,src/java/org/apache/avro/file/DataFileWriter.java,org/apache/avro/file/DataFileWriter.java,173,9,1,6,180,112680,413,183,45,213,183,23,626,183,69,988,216,109,20.5556,5.1915,0,No
AVRO,1.2.0,src/java/org/apache/avro/file/DataFileConstants.java,org/apache/avro/file/DataFileConstants.java,35,1,1,1,0,0,38,38,38,0,0,0,38,38,38,323,323,323,36,6.8643,0,No
AVRO,1.2.0,src/java/org/apache/avro/Schema.java,org/apache/avro/Schema.java,708,21,1,17,169,390897,1544,451,73,769,451,36,2313,451,110,1107,243,52,13.0476,3.7075,0,No
AVRO,1.2.0,src/java/org/apache/avro/Protocol.java,org/apache/avro/Protocol.java,306,16,1,12,169,192153,746,300,46,391,300,24,1137,300,71,1076,243,67,15.125,4.2153,0,Yes
AVRO,1.2.0,src/java/org/apache/avro/reflect/ReflectDatumReader.java,org/apache/avro/reflect/ReflectDatumReader.java,86,12,1,9,169,81289,291,92,24,190,92,15,481,92,40,1033,217,86,17.0833,4.8263,0,No
AVRO,1.2.0,src/java/org/apache/avro/reflect/ReflectResponder.java,org/apache/avro/reflect/ReflectResponder.java,86,12,1,9,169,74698,271,118,22,171,118,14,442,118,36,1060,216,88,18.4167,4.8681,0,No
AVRO,1.2.0,src/java/org/apache/avro/reflect/ReflectData.java,org/apache/avro/reflect/ReflectData.java,321,14,1,10,169,153621,632,194,45,277,194,19,909,194,64,1093,217,78,16.9286,4.5682,0,Yes
AVRO,1.2.0,src/java/org/apache/avro/reflect/ReflectRequestor.java,org/apache/avro/reflect/ReflectRequestor.java,94,10,1,7,169,51714,209,77,20,97,77,9,306,77,30,974,222,97,19.1,4.9913,0,No
AVRO,1.2.0,src/java/org/apache/avro/io/ResolvingDecoder.java,org/apache/avro/io/ResolvingDecoder.java,190,3,1,3,32,12352,295,223,98,91,91,30,386,223,128,481,241,160,24.3333,5.4877,0,Yes
AVRO,1.2.0,src/java/org/apache/avro/io/BinaryDecoder.java,org/apache/avro/io/BinaryDecoder.java,263,4,1,4,56,17640,308,305,77,7,5,1,315,305,78,530,229,132,21.5,5.4161,0,No
AVRO,1.2.0,src/java/org/apache/avro/io/BinaryData.java,org/apache/avro/io/BinaryData.java,181,3,1,3,3,1110,281,190,93,89,88,29,370,190,123,355,305,118,18.3333,4.6074,0,No
AVRO,1.2.0,src/java/org/apache/avro/io/Decoder.java,org/apache/avro/io/Decoder.java,251,5,1,5,56,17248,294,279,58,14,10,2,308,279,61,555,229,111,18.8,5.0892,0,No
AVRO,1.2.0,src/java/org/apache/avro/io/ValidatingEncoder.java,org/apache/avro/io/ValidatingEncoder.java,174,3,1,3,32,13152,307,225,102,104,104,34,411,225,137,481,241,160,24.3333,5.4877,0,Yes
